miRNA,lncRNA,mRNA
hsa-miR-1255a,OIP5-AS1,CHTF8
hsa-miR-1255a,OIP5-AS1,FAM102A
hsa-miR-1255a,OIP5-AS1,GATAD2B
hsa-miR-1255a,OIP5-AS1,KAT7
hsa-miR-1255a,OIP5-AS1,PIAS1
hsa-miR-1255a,OIP5-AS1,SRRT
hsa-miR-1255a,OIP5-AS1,XRCC1
hsa-miR-1255a,OIP5-AS1,TAOK1
hsa-miR-1255a,OIP5-AS1,C21orf91
hsa-miR-1255a,OIP5-AS1,CRKL
hsa-miR-1255a,OIP5-AS1,ARID1A
hsa-miR-1255a,OIP5-AS1,DCXR
hsa-miR-1255a,OIP5-AS1,CKS2
hsa-miR-1255a,OIP5-AS1,EIF5A
hsa-miR-1255a,OIP5-AS1,NMNAT2
hsa-miR-1255a,OIP5-AS1,PARP9
hsa-miR-1255a,OIP5-AS1,TADA2B
hsa-miR-1255a,OIP5-AS1,ST18
hsa-miR-1255a,OIP5-AS1,TMEM106B
hsa-miR-1255a,OIP5-AS1,IFNLR1
hsa-miR-1255a,OIP5-AS1,ZKSCAN8
hsa-miR-1255a,OIP5-AS1,C1orf109
hsa-miR-1255a,OIP5-AS1,ARHGEF2
hsa-miR-1255a,OIP5-AS1,RNF185
hsa-miR-1255a,OIP5-AS1,GAS7
hsa-miR-1255a,OIP5-AS1,RAPGEF1
hsa-miR-1255a,OIP5-AS1,BASP1
hsa-miR-1255a,OIP5-AS1,KIAA1191
hsa-miR-1255a,OIP5-AS1,DCP2
hsa-miR-1255a,OIP5-AS1,SRD5A3
hsa-miR-1255a,OIP5-AS1,HIPK1
hsa-miR-1255a,OIP5-AS1,SPATA2
hsa-miR-1255a,OIP5-AS1,PXN
hsa-miR-1255a,OIP5-AS1,GRB2
hsa-miR-1255a,OIP5-AS1,VEZF1
hsa-miR-1255a,OIP5-AS1,MAD2L1
hsa-miR-1255a,OIP5-AS1,CAND1
hsa-miR-1255a,OIP5-AS1,DNAJB4
hsa-miR-1255a,OIP5-AS1,ZNF550
hsa-miR-1255a,OIP5-AS1,DNAJC24
hsa-miR-1255a,OIP5-AS1,KLF3
hsa-miR-1255a,OIP5-AS1,CYGB
hsa-miR-1255a,OIP5-AS1,NUCKS1
hsa-miR-1255a,OIP5-AS1,S1PR1
hsa-miR-1255a,OIP5-AS1,MED19
hsa-miR-1255a,OIP5-AS1,TBC1D20
hsa-miR-1255a,OIP5-AS1,PDPR
hsa-miR-1255a,OIP5-AS1,RBM8A
hsa-miR-1255a,OIP5-AS1,ITGA2
hsa-miR-1255a,OIP5-AS1,RNF168
