miRNA,mRNA
hsa-miR-421,RBMXL1
hsa-miR-421,CBX7
hsa-miR-421,ATM
hsa-miR-421,SMAD4
hsa-miR-421,NSL1
hsa-miR-421,SRSF7
hsa-miR-421,GID8
hsa-miR-421,EIF3K
hsa-miR-421,MAPK8
hsa-miR-421,LIMS1
hsa-miR-421,ZNF30
hsa-miR-421,GID4
hsa-miR-421,DDX39A
hsa-miR-421,ZNF678
hsa-miR-421,MIS18BP1
hsa-miR-421,NXPE3
hsa-miR-421,RNF138
hsa-miR-421,LIN7C
hsa-miR-421,RGMB
hsa-miR-421,SREK1IP1
hsa-miR-421,TAF9
hsa-miR-421,NR6A1
hsa-miR-421,CD46
hsa-miR-421,NDC1
hsa-miR-421,CREBZF
hsa-miR-421,POLR2D
hsa-miR-421,CEBPB
hsa-miR-421,FAM160B1
hsa-miR-421,VAPA
hsa-miR-421,DDX3X
hsa-miR-421,CREBRF
hsa-miR-421,FAM122A
hsa-miR-421,DNAJC27
hsa-miR-421,ZFP36L2
hsa-miR-421,RND3
hsa-miR-421,ATG2B
hsa-miR-421,TTC37
hsa-miR-421,RBBP7
hsa-miR-421,AFF4
hsa-miR-421,NIPBL
hsa-miR-421,LMCD1
hsa-miR-421,RANBP2
hsa-miR-421,USO1
hsa-miR-421,AP3B1
hsa-miR-421,PAXBP1
hsa-miR-421,PPARGC1A
hsa-miR-421,MTHFD2
hsa-miR-421,GCSH
hsa-miR-421,LARS2
hsa-miR-421,RPL18A
hsa-miR-421,EIF4A1
hsa-miR-421,DUSP3
hsa-miR-421,PHKA1
hsa-miR-421,DDX20
hsa-miR-421,CAP1
hsa-miR-421,ACOT9
hsa-miR-421,EIF4G2
hsa-miR-421,MSL3
hsa-miR-421,CEP57
hsa-miR-421,RPL26L1
hsa-miR-421,SENP7
hsa-miR-421,DOK4
hsa-miR-421,OTUD1
hsa-miR-421,CDC42SE2
hsa-miR-421,MRPL38
hsa-miR-421,ATXN2L
hsa-miR-421,TSR1
hsa-miR-421,GFOD2
hsa-miR-421,RAB2B
hsa-miR-421,PPP1R13B
hsa-miR-421,NPM1
hsa-miR-421,PARP10
hsa-miR-421,PQLC2
hsa-miR-421,SLC25A6
hsa-miR-421,PRR7
hsa-miR-421,AGO1
hsa-miR-421,FBXO11
hsa-miR-421,AHNAK
hsa-miR-421,GRK6
hsa-miR-421,SLIT1
hsa-miR-421,SLC9A6
hsa-miR-421,FAM172A
hsa-miR-421,SPECC1L
hsa-miR-421,SEPT2
hsa-miR-421,CTC1
hsa-miR-421,CDC37
hsa-miR-421,ZNF280C
hsa-miR-421,ISY1
hsa-miR-421,ZMYND8
hsa-miR-421,SRP9
hsa-miR-421,INPP4A
hsa-miR-421,MLXIP
hsa-miR-421,DUS3L
hsa-miR-421,FKBP8
hsa-miR-421,DNAJC16
hsa-miR-421,COPRS
hsa-miR-421,TUBA1B
hsa-miR-421,CASP2
hsa-miR-421,RPS18
hsa-miR-421,HSP90AA1
hsa-miR-421,COPA
hsa-miR-421,RAB11FIP1
hsa-miR-421,RHOB
hsa-miR-421,PSME1
hsa-miR-421,MCFD2
hsa-miR-421,CNOT1
hsa-miR-421,ZC3H7B
hsa-miR-421,AMZ2
hsa-miR-421,HTT
hsa-miR-421,LBR
hsa-miR-421,NCDN
hsa-miR-421,RASL10B
hsa-miR-421,RIF1
hsa-miR-421,EEF1A1
hsa-miR-421,ITPK1
hsa-miR-421,RPS10
hsa-miR-421,FAM168B
hsa-miR-421,CMAS
hsa-miR-421,TRIM27
hsa-miR-421,NR3C1
hsa-miR-421,ZXDA
hsa-miR-421,SFXN1
hsa-miR-421,DFFB
hsa-miR-421,RASAL1
hsa-miR-421,KIAA0100
hsa-miR-421,CD276
hsa-miR-421,RHOBTB2
hsa-miR-421,SMCHD1
hsa-miR-421,FAM32A
hsa-miR-421,RAB26
hsa-miR-421,TMEM109
hsa-miR-421,PRCC
hsa-miR-421,PPP2CB
hsa-miR-421,PHLPP2
hsa-miR-421,RALGAPB
hsa-miR-421,HADHA
hsa-miR-3687,RAI1
hsa-miR-3687,KIAA0355
hsa-miR-3687,PPARGC1B
hsa-miR-421,CASP3
hsa-miR-3609,SGPL1
hsa-miR-573,TBCEL
hsa-miR-3609,CCND1
hsa-miR-3609,MED17
hsa-miR-3609,BTG2
hsa-miR-3609,GPR137B
hsa-miR-3609,ACVR1B
hsa-miR-568,PUM1
hsa-miR-573,TXLNA
hsa-miR-573,FNDC3A
hsa-miR-3609,TPRG1L
hsa-miR-3609,ZFYVE21
hsa-miR-3609,FOXJ3
hsa-miR-573,FANCM
hsa-miR-3609,FCF1
hsa-miR-4477b,RNF11
hsa-miR-568,B2M
hsa-miR-3609,B2M
hsa-miR-573,GLCE
hsa-miR-4477b,ARIH1
hsa-miR-3609,IGF1R
hsa-miR-573,PHF13
hsa-miR-1267,SF3B3
hsa-miR-4477b,GID4
hsa-miR-573,SMCR8
hsa-miR-568,NUFIP2
hsa-miR-3609,KRT10
hsa-miR-421,PNPO
hsa-miR-1299,VAMP3
hsa-miR-568,PMAIP1
hsa-miR-3609,ZCCHC2
hsa-miR-573,PKN2
hsa-miR-3609,MIDN
hsa-miR-573,ZNF460
hsa-miR-3609,FMNL2
hsa-miR-3609,UBXN2A
hsa-miR-568,PIM3
hsa-miR-568,LCLAT1
hsa-miR-568,B3GNT2
hsa-miR-3609,ACTR2
hsa-miR-3167,MAT2A
hsa-miR-3609,PLS1
hsa-miR-3609,EIF4A2
hsa-miR-4477b,ZBTB47
hsa-miR-3609,APPL1
hsa-miR-3609,THAP6
hsa-miR-568,ZSWIM6
hsa-miR-568,LHFPL2
hsa-miR-3609,SMIM13
hsa-miR-4477b,PCMT1
hsa-miR-3609,MYLIP
hsa-miR-573,SOX4
hsa-miR-568,VEGFA
hsa-miR-573,ENPP4
hsa-miR-1255a,SRRT
hsa-miR-3609,SP4
hsa-miR-3609,XIAP
hsa-miR-621,KLHL15
hsa-miR-4705,NDUFS3
hsa-miR-3609,AKAP11
hsa-miR-3609,RAB5B
hsa-miR-621,DAD1
hsa-miR-4477b,RNF138
hsa-miR-1299,GNAS
hsa-miR-3609,SIK1
hsa-miR-3167,IKZF2
hsa-miR-3609,YTHDF3
hsa-miR-421,XIAP
hsa-miR-4477b,PAFAH1B2
hsa-miR-3609,POU2F1
hsa-miR-3609,ZBTB37
hsa-miR-3609,ULK1
hsa-miR-568,ZNF268
hsa-miR-3609,CLIC4
hsa-miR-1255a,PCBP2
hsa-miR-3609,PCBP2
hsa-miR-3609,DYRK2
hsa-miR-3609,RAP1B
hsa-miR-3609,BTF3L4
hsa-miR-568,MPRIP
hsa-miR-1255a,TAOK1
hsa-miR-421,ZNF652
hsa-miR-3609,ZNF805
hsa-miR-1255a,NAA20
hsa-miR-4477b,CAB39
hsa-miR-1267,PTMA
hsa-miR-568,MTHFD2
hsa-miR-1267,ELMOD2
hsa-miR-3609,RBPJ
hsa-miR-3609,REST
hsa-miR-3609,KIAA0232
hsa-miR-3609,DCK
