Module,lncRNA,mRNA,miRNA
M1,CTC-428G20.3,CNOT6,hsa-miR-1299
M1,CTC-428G20.3,EFCAB14,hsa-miR-1299
M1,CTC-428G20.3,METTL8,hsa-miR-1299
M1,CTC-428G20.3,NDST1,hsa-miR-1299
M1,CTC-428G20.3,TMEM184B,hsa-miR-1299
M1,CTC-428G20.3,ZNF24,hsa-miR-1299
M1,CTD-3185P2.1,AKR7A2,hsa-miR-3167
M1,CTD-3185P2.1,RBM4B,hsa-miR-3167
M1,CTD-3185P2.1,RORA,hsa-miR-3167
M1,FGD5-AS1,ADD3,hsa-miR-421
M1,FGD5-AS1,AKR7A2,hsa-miR-3167;hsa-miR-421
M1,FGD5-AS1,ARGLU1,hsa-miR-421
M1,FGD5-AS1,CUX1,hsa-miR-421
M1,FGD5-AS1,FAM208A,hsa-miR-421
M1,FGD5-AS1,G6PC3,hsa-miR-421
M1,FGD5-AS1,GAS1,hsa-miR-421
M1,FGD5-AS1,ID4,hsa-miR-421
M1,FGD5-AS1,KCNJ10,hsa-miR-421
M1,FGD5-AS1,KCNN3,hsa-miR-421
M1,FGD5-AS1,LEPROT,hsa-miR-421
M1,FGD5-AS1,LIFR,hsa-miR-421
M1,FGD5-AS1,LRRC58,hsa-miR-421
M1,FGD5-AS1,METTL8,hsa-miR-421
M1,FGD5-AS1,MFAP3L,hsa-miR-421
M1,FGD5-AS1,MKLN1,hsa-miR-421
M1,FGD5-AS1,MMGT1,hsa-miR-421
M1,FGD5-AS1,MXI1,hsa-miR-421
M1,FGD5-AS1,NHLRC2,hsa-miR-421
M1,FGD5-AS1,NPFFR1,hsa-miR-421
M1,FGD5-AS1,NSL1,hsa-miR-421
M1,FGD5-AS1,NUCKS1,hsa-miR-421
M1,FGD5-AS1,PDGFRA,hsa-miR-421
M1,FGD5-AS1,PIPOX,hsa-miR-421
M1,FGD5-AS1,RAB30,hsa-miR-421
M1,FGD5-AS1,RASSF4,hsa-miR-421
M1,FGD5-AS1,RBM4B,hsa-miR-3167
M1,FGD5-AS1,RORA,hsa-miR-3167;hsa-miR-421
